rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range
55.054235659999996,344064,168,989,516.32,347,0.00025,0.8827187,1670,-1.1984135173261166,0.007186932,49.54643911421299,-0.003632384695811197,0.0384765625,12.564824104309082,0.2
57.17943375000001,346112,169,995,533.57,347,0.00025,0.73517287,1680,-1.154271775111556,0.0051828297,126.1840006172657,-0.004550860475865193,0.022998046875,26.210039138793945,0.2
56.407371510000004,348160,170,1001,533.57,347,0.00025,0.91804725,1690,-1.133010122925043,0.010307102,33.70419591367245,-0.004309850529534742,0.040234375,8.043149948120117,0.2
58.90576080000001,350208,171,1006,541.57,347,0.00025,0.753784,1700,-1.2034387443214656,0.009504201,48.47319816946983,-0.005419609087402933,0.077001953125,17.77098274230957,0.2
60.72101508,352256,172,1012,558.9,347,0.00025,0.9414252,1710,-1.200958724319935,0.008866698,9.967027604207397,-0.004524976230459288,0.048779296875,4.647212982177734,0.2
60.93329064999999,354304,173,1018,567.28,347,0.00025,0.92050326,1720,-1.079044241271913,0.007878572,37.26732564866543,-0.00020997821411583573,0.052734375,6.032712936401367,0.2
61.09094,356352,174,1024,566.88,347,0.00025,0.9205928,1730,-1.1593743614852428,0.009723405,29.32667686790228,-0.007543749606702477,0.042236328125,7.737970352172852,0.2
58.56884496,358400,175,1030,567.73,347,0.00025,0.9009741,1740,-1.193680452927947,0.01152046,52.59816784188151,-0.005045271637209225,0.035498046875,0.958219051361084,0.2
61.58535523,360448,176,1036,585.43,347,0.00025,0.8469215,1750,-1.1613345541059972,0.0060157287,68.7206349760294,-0.0028133778978371993,0.02421875,3.360947847366333,0.2
64.36600372,362496,177,1041,593.78,348,0.00025,0.9504985,1760,-1.1864648457616567,0.007941988,24.3435235068202,-0.00917952249001246,0.06064453125,4.892782688140869,0.2
66.20665942000001,364544,178,1046,611.84,348,0.00025,0.93982476,1770,-1.1810633521527052,0.0048499573,26.67258250154555,-0.0029382742184679957,0.0220703125,1.1987403631210327,0.2
68.06257688000001,366592,179,1052,620.49,348,0.00025,0.94945693,1780,-1.202527352795005,0.009518467,8.728899209573864,-0.011348820480634458,0.05380859375,0.9467589855194092,0.2
69.29628832,368640,180,1057,627.86,348,0.00025,0.9335314,1790,-1.155672663450241,0.0072485274,27.354329842329026,-0.005300326422729995,0.021337890625,8.374373435974121,0.2
68.69507236999999,370688,181,1062,635.55,348,0.00025,0.80446386,1800,-1.17195288464427,0.0018646361,104.27679263949395,-0.001443352136266185,0.010009765625,6.924622058868408,0.2
68.50064947999999,372736,182,1068,644.24,348,0.00025,0.88871586,1810,-1.1192213077098132,0.007363086,71.23855510056019,-0.004650587076321244,0.06484375,12.256757736206055,0.2
67.90093776999998,374784,183,1073,644.24,349,0.00025,0.9456748,1820,-1.1577020294964313,0.012559103,10.241759285703301,-0.0025995182892074808,0.091650390625,1.4241375923156738,0.2
70.53571892999999,376832,184,1079,652.59,349,0.00025,0.9306766,1830,-1.2134344678372144,0.0054257275,11.503030959889292,-0.005197105443221517,0.035400390625,4.990894794464111,0.2
69.28379849,378880,185,1084,642.85,349,0.00025,0.9268955,1840,-1.1560498602688312,0.007822739,27.60907016992569,-0.004801003403554205,0.046875,5.007228851318359,0.2
69.08734733,380928,186,1090,642.89,349,0.00025,0.93284756,1850,-1.1527745053172112,0.0044500465,36.553821824491024,-0.006565037622931413,0.0423828125,31.164180755615234,0.2
70.39554049,382976,187,1095,651.22,349,0.00025,0.9054326,1860,-1.1289668425917625,0.0031375177,53.88809089958668,-0.004735835798783228,0.01318359375,4.464585781097412,0.2
70.43789832000002,385024,188,1101,651.34,349,0.00025,0.9043251,1870,-1.167252055555582,0.0029143842,55.94164818674326,-0.004543069543433376,0.00888671875,11.678908348083496,0.2
67.17869826,387072,189,1107,658.92,349,0.00025,0.947377,1880,-1.1845072742551566,0.00861806,15.775266140326858,-0.0026325483413529582,0.036083984375,3.7523224353790283,0.2
